,name,rating,reviews,field,employees,ctype,old,location
0,TCS,3.8,64.3k,IT Services & Consulting , 1 Lakh+ Employees , Public , 55 years old , Mumbai +286 more
1,Accenture,4.1,41k,IT Services & Consulting , 1 Lakh+ Employees , Public , 34 years old , Dublin +143 more
2,Cognizant,3.9,37.3k,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 29 years old , Teaneck. New Jersey. +112 more
3,Wipro,3.8,34k,IT Services & Consulting , 1 Lakh+ Employees , Public , 78 years old , Bangalore/Bengaluru +247 more
4,ICICI Bank,4.0,30.1k,Banking , 1 Lakh+ Employees , Public , 29 years old , Mumbai +1202 more
5,HDFC Bank,3.9,29.7k,Banking , 1 Lakh+ Employees , Public , 29 years old , Mumbai +1433 more
6,Infosys,3.9,28.1k,IT Services & Consulting , 1 Lakh+ Employees , Public , 42 years old , Bengaluru/Bangalore +136 more
7,Capgemini,3.9,26.1k,IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Paris +89 more
8,Tech Mahindra,3.7,24.4k,IT Services & Consulting , 1 Lakh+ Employees , Public , 37 years old , Pune +236 more
9,HCLTech,3.7,23.7k,IT Services & Consulting , 1 Lakh+ Employees , Public , 32 years old , Noida +155 more
10,Genpact,3.9,23.5k,IT Services & Consulting , 50k-1 Lakh Employees , Public , 26 years old , New York +80 more
11,Axis Bank,3.8,19.8k,Banking , 50k-1 Lakh Employees , Public , 30 years old , Mumbai +1231 more
12,Concentrix Corporation,3.9,19.1k,BPO , 50k-1 Lakh Employees , Public , 40 years old , Fremont +87 more
13,Amazon,4.2,18.4k,Internet , 1 Lakh+ Employees , Public , 29 years old , Seattle +396 more
14,Reliance Jio,3.9,18k,Telecom , 50k-1 Lakh Employees , Public , 16 years old , Navi Mumbai +1098 more
15,IBM,4.1,18k,Software Product , 50k-1 Lakh Employees , Public , 112 years old , Armonk +133 more
16,Larsen & Toubro Limited,4.0,16.9k,Engineering & Construction , 1 Lakh+ Employees , Public , 85 years old , Mumbai +582 more
17,Reliance Retail,3.9,16k,Retail , 1 Lakh+ Employees , 17 years old , Navi Mumbai +914 more,
18,HDB Financial Services,4.0,15.9k,NBFC , 1 Lakh+ Employees , 16 years old , Ahmedabad +899 more,
19,Teleperformance,3.6,15.1k,BPO , 10k-50k Employees , Forbes Global 2000 , 45 years old , Paris +130 more
20,Vodafone Idea,4.2,14.4k,10k-50k Employees , Public , 5 years old , Mumbai +610 more,
21,Deloitte,4.0,12.9k,Management Consulting , 1 Lakh+ Employees , 178 years old , London +146 more,
22,BYJU'S,3.2,12.8k,EdTech , 1k-5k Employees , Indian Unicorn , 12 years old , Bangalore +290 more
23,Kotak Mahindra Bank,3.8,12.6k,Banking , 10k-50k Employees , Public , 20 years old , Mumbai +515 more
24,Reliance Industries,4.0,11.8k,Oil & Gas , Public , 46 years old , Navi Mumbai +591 more,
25,Bharti Airtel,4.0,10.9k,Telecom , 10k-50k Employees , Public , 28 years old , Gurgaon/Gurugram +603 more
26,Tata Motors,4.2,10.1k,Automobile , 10k-50k Employees , Public , 78 years old , Pune +420 more
27,Ernst & Young,3.7,8.9k,Accounting & Auditing , 10k-50k Employees , 21 years old , London +88 more,
28,Flipkart,4.1,8.8k,Internet , 10k-50k Employees , Public , 16 years old , Bangalore +499 more
29,WNS,3.6,8.6k,BPO , 10k-50k Employees , 27 years old , Mumbai +30 more,
30,IndusInd Bank,3.7,8.2k,Banking , 10k-50k Employees , Public , 29 years old , Gurgaon/Gurugram +631 more
31,Mahindra & Mahindra,4.1,8.1k,Automobile , 1 Lakh+ Employees , Public , 78 years old , Mumbai +451 more
32,iEnergizer,4.4,7.7k,BPO , 10k-50k Employees , 23 years old , Noida +19 more,
33,Infosys BPM,3.9,7.4k,Analytics & KPO , 10k-50k Employees , 21 years old , Bangalore/Bengaluru +54 more,
34,DXC Technology,3.8,7.4k,IT Services & Consulting , 10k-50k Employees , Public , 6 years old , Minato +59 more
35,IDFC FIRST Bank,4.0,7k,Banking , 10k-50k Employees , Public , 5 years old , Mumbai +508 more
36,Conneqt Business Solutions,3.7,6.8k,Analytics & KPO , 10k-50k Employees , 21 years old , Mumbai +186 more,
37,Bajaj Finserv,4.0,6.4k,Insurance , 10k-50k Employees , Public , 16 years old , Pune +788 more
38,LTIMindtree,3.8,6.4k,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Bangalore/Bengaluru +40 more
39,Hinduja Global Solutions,4.0,6.4k,Software Product , 10k-50k Employees , Public , 23 years old , Bangalore/Bengaluru +85 more
40,HSBC Group,4.1,6.3k,Banking , 10k-50k Employees , Forbes Global 2000 , 21 years old , Pune +55 more
41,Mphasis,3.5,6.2k,IT Services & Consulting , 10k-50k Employees , Public , 25 years old , Bangalore/Bengaluru +41 more
42,Startek,3.2,6.1k,BPO , 10k-50k Employees , Public , 6 years old , Mumbai +60 more
43,Ericsson,4.3,6k,10k-50k Employees , Forbes Global 2000 , 147 years old , Stockholm +140 more,
44,PwC,3.7,6k,Accounting & Auditing , 10k-50k Employees , Conglomerate , 143 years old , London +79 more
45,Maruti Suzuki,4.2,5.9k,Automobile , 10k-50k Employees , Public , 42 years old , New Delhi +339 more
46,HDFC Life,4.1,5.8k,Insurance , 10k-50k Employees , Public , 1 years old , Mumbai +485 more
47,Yes Bank,3.9,5.7k,Banking , 10k-50k Employees , Public , 19 years old , Mumbai +412 more
48,Asian Paints,4.1,5.6k,Chemicals , 10k-50k Employees , Public , 81 years old , Mumbai +380 more
49,Dr. Reddy's,4.2,5.6k,Pharma , 10k-50k Employees , Public , 39 years old , Hyderabad/Secunderabad +151 more
50,Cipla Pharmaceutical,4.1,5.5k,Pharma , 10k-50k Employees , Public , 88 years old , Mumbai +208 more
51,Sutherland Global Services,3.8,5.4k,IT Services & Consulting , 10k-50k Employees , 37 years old , Pittsford +46 more,
52,NTT DATA,4.0,5.2k,IT Services & Consulting , 10k-50k Employees , 35 years old , Chiyoda City +45 more,
53,ICICI Prudential Life Insurance,4.1,5.2k,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +428 more
54,EXL Service,3.8,5.2k,Analytics & KPO , 10k-50k Employees , 24 years old , New York City +37 more,
55,Jana Small Finance Bank,3.8,5.1k,Banking , 10k-50k Employees , Public , 17 years old , Bangalore/Bengaluru +329 more
56,UltraTech Cement,4.2,5k,Building Material , 10k-50k Employees , Public , 40 years old , Mumbai +397 more
57,HCL Group,3.7,5k,IT Services & Consulting , 1 Lakh+ Employees , 47 years old , Chennai +67 more,
58,Udaan,4.0,5k,Internet , 1k-5k Employees , Indian Unicorn , 7 years old , Bangalore +328 more
59,Lupin,4.1,5k,Pharma , 10k-50k Employees , Public , 55 years old , Mumbai +149 more
60,Bandhan Bank,3.8,4.9k,Banking , 50k-1 Lakh Employees , Public , 22 years old , Kolkata +670 more
61,Paytm,3.5,4.9k,FinTech , 5k-10k Employees , Public , 13 years old , Noida +274 more
62,Bajaj Finance,4.1,4.8k,NBFC , 10k-50k Employees , 36 years old , Pune +705 more,
63,L&T Infotech,3.8,4.8k,IT Services & Consulting , 10k-50k Employees , Public , 27 years old , Mumbai +74 more
64,ITC,3.9,4.7k,FMCG , 10k-50k Employees , Public , 48 years old , Kolkata +277 more
65,Indian Army,4.7,4.6k,Defence & Aerospace , 1 Lakh+ Employees , Public , 128 years old , New Delhi +294 more
66,AU Small Finance Bank,4.2,4.6k,Financial Services , 10k-50k Employees , Fortune India 500 , 27 years old , Jaipur +344 more
67,Wells Fargo,4.1,4.5k,Banking , 10k-50k Employees , Public , 171 years old , San Francisco +19 more
68,JP Morgan Chase,4.2,4.5k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 23 years old , New York +30 more
69,FIS,4.0,4.5k,IT Services & Consulting , 5k-10k Employees , 55 years old , Jacksonville +36 more,
70,Delhivery,4.0,4.5k,Logistics , 10k-50k Employees , Fortune India 500 , 12 years old , Delhi +561 more
71,Hindustan Unilever,4.2,4.5k,FMCG , 10k-50k Employees , Public , 151 years old , London +399 more
72,IIFL Finance,3.8,4.4k,Financial Services , 10k-50k Employees , Public , 28 years old , Mumbai +597 more
73,Amazon Development Centre India,4.2,4.3k,Internet , 10k-50k Employees , Hyderabad/Secunderabad +54 more,,
74,Quess,3.9,4.3k,Recruitment , 1 Lakh+ Employees , Public , 16 years old , Bangalore +452 more
75,TATA Steel,4.1,4.2k,Iron & Steel , 1 Lakh+ Employees , Public , 116 years old , Mumbai +139 more
76,Home Credit Finance,4.2,4.2k,Financial Services , 5k-10k Employees , 11 years old , Gurugram +108 more,
77,KPMG India,3.6,4.2k,Management Consulting , 10k-50k Employees , 36 years old , Bengaluru/Bangalore +70 more,
78,Hexaware Technologies,3.7,4.1k,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 33 years old , Mumbai +35 more
79,Sun Pharmaceutical Industries,4.1,4.1k,Pharma , 10k-50k Employees , Public , 40 years old , Mumbai +175 more
80,Ujjivan Small Finance Bank,4.1,4k,Banking , 10k-50k Employees , Public , 6 years old , Bangalore/Bengaluru +403 more
81,JSW Steel,3.9,4k,Iron & Steel , 10k-50k Employees , Public , 41 years old , Mumbai +114 more
82,OPPO,3.9,4k,Consumer Electronics & Appliances , 10k-50k Employees , Public , 19 years old , Dongguan +353 more
